Id,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,Fax,AccountNumber,Website,Industry,AnnualRevenue,NumberOfEmployees
0016F00001xjT7BQAU,ACT Tab,,000000000000000AAA,,,,,,,,,,,02 62456211,,,,Betting,,
0016F00001xjT7CQAU,Actegy Health,,000000000000000AAA,,,,,,,,,,,(0)7 5443 9767.,,,,Retail,,
0016F00001xjT7DQAU,Action Paintball,,000000000000000AAA,,,,,,,,,,,9679 0011,,,,Corporate Team Building,,
0016F00001xjT7EQAU,Action Scaffolds,,000000000000000AAA,,,,,Australia,,,,,,733234555,,,,Builders,,
0016F00001xjT7FQAU,Action Studio Photography,,000000000000000AAA,,,,,Australia,,,,,,07 3889 4741,,,,Wedding/Conference Centre,,
0016F00001xjT7GQAU,Activate Media & Events,Activation Agency,000000000000000AAA,,,,,Australia,,,,,,,,,,,,
0016F00001xjT7HQAU,Active Coffee,,000000000000000AAA,,,,,Australia,,,,,,07 5636 1038,,,,,,
0016F00001xjT7IQAU,Activision,,000000000000000AAA,,,,,,,,,,,1300 748 995,,,,Electronics,,
0016F00001xjT7JQAU,Acton Real Estate,,000000000000000AAA,,,,,,,,,,,08 9386 1808,,,,Real Estate,,
0016F00001xjT7KQAU,Actron Air,Client,000000000000000AAA,5 Irvine Place,Bella Vista,NSW,2153,Australia,,,,,,02 8814 4000,,,,Electronics,,
0016F00001xjT7LQAU,Acutiy  property solutions,Agency,000000000000000AAA,,,,,,,,,,,(041) 232-2935,,,,Ad Agency,,
0016F00001xjT7MQAU,ADAD,Agency,000000000000000AAA,,,,,Australia,,,,,,02 9225 3300,,,,,,
0016F00001xjT7NQAU,Adairs,,000000000000000AAA,,,,,,,,,,,03 8888 4500,,,,Retail,,
0016F00001xjT7OQAU,Adcorp,Agency,000000000000000AAA,,,,,,,,,,,,,,,Ad Agency,,
0016F00001xjT7PQAU,Adecco Recruitment,,000000000000000AAA,,,,,Australia,,,,,,03) 9954 2100,,,,Recruiters,,
0016F00001xjT7QQAU,Adelaide Airport,,000000000000000AAA,,,,,,,,,,,08 8308 9200,,,,Airport,,
0016F00001xjT7RQAU,Adelaide Botanic Garden,,000000000000000AAA,,,,,Australia,,,,,,08 8222 9311,,,,Tourism,,
0016F00001xjT7SQAU,Adelaide Central Markets,,000000000000000AAA,,,,,Australia,,,,,,08 8203 7494,,,,,,
0016F00001xjT7TQAU,Adelaide City Dental Care,,000000000000000AAA,,,,,Australia,,,,,,,,,,,,
0016F00001xjT7UQAU,Adelaide Convention Centre,,0016F000033GuShQAK,,,,,Australia,,,,,,08 8212 4099,,,,,,
0016F00001xjT7VQAU,Adelaide Eastern Childcare,,000000000000000AAA,,,,,Australia,,,,,,,,,,,,
0016F00001xjT7WQAU,Adelaide Entertainment Centre,,0016F000033GuShQAK,,,,,Australia,,,,,,08 8208 2222,,,,,,
0016F00001xjT7XQAU,Adelaide Exchange,,000000000000000AAA,,,,,Australia,,,,,,08 8212 2496,,,,Retail,,
0016F00001xjT7YQAU,Adelaide Festival Corporation,,000000000000000AAA,"PO Box 8221 Station Arcade, Adelaide SA 5000",,,,Australia,,,,,,08 8216 4444,,,,Local Attractions,,
0016F00001xjT7ZQAU,Adelaide Football Club,,000000000000000AAA,,,SA,,Australia,,,SA,,,08 8440 6666,,,http://www.afc.com.au,AFL - Australian Football League,,
0016F00001xjT7aQAE,Adelaide Fringe,,000000000000000AAA,,,,,,,,,,,08 8100 2000,,,,Local Attractions,,
0016F00001xjT7bQAE,Adelaide Independent Taxis,,000000000000000AAA,,,,,Australia,,,,,,(08) 8202 1200,,,,,,
0016F00001xjT7cQAE,Adelaide Mustang,,000000000000000AAA,,,,,Australia,,,,,,,,,,,,
0016F00001xjT7dQAE,Adelaide Oval,,000000000000000AAA,,,SA,,Australia,,,SA,,,08 8211 1100,,,www.adelaideoval.com.au,Stadium,,
0016F00001xjT7eQAE,Adelaide PHN,Client,000000000000000AAA,,,,,Australia,,,,,,08 8219 5900,,,,Charities,,
0016F00001xjT7fQAE,Adelaide Quality Plumbing,,000000000000000AAA,,,,,Australia,,,,,,,,,,,,
0016F00001xjT7gQAE,Adelaide Rural Salvage,,000000000000000AAA,,,,,Australia,,,,,,883454799,,,,DIY & Hardware,,
0016F00001xjT7hQAE,Adelaide Showground,Supplier,000000000000000AAA,,,,,Australia,,,,,,,,,,,,
0016F00001xjT7iQAE,Adelaide Strikers,,000000000000000AAA,,,SA,,Australia,,,,,,08 8300 3800,,,www.adelaidestrikers.com.au,Cricket Australia,,
0016F00001xjT7jQAE,Adelaide Training Acadamies,,000000000000000AAA,,,,,,,,,,,,,,,Education,,
0016F00001xjT7kQAE,Adelaide Zoo,,000000000000000AAA,,,,,,,,,,,08 8267 3255,,,,Local Attractions,,
0016F00001xjT7lQAE,Adenbrook Homes,,000000000000000AAA,,,,,Australia,,,,,,07 3028 9500,,,,,,
0016F00001xjT7mQAE,Adept Plumbing & Gas,,000000000000000AAA,,Brisbane,,,Australia,,,,,,0425 706 949,,,,Services,,
0016F00001xjT7nQAE,Adhesive PR,,000000000000000AAA,,,,,Australia,,,,,,,,,,,,
0016F00001xjT7oQAE,Adhoc Media,,000000000000000AAA,,,,,,,,,,,,,,,,,
0016F00001xjT7pQAE,Adidas,,000000000000000AAA,,,,,,,,,,,039) 263-5299,,,,Sportswear,,
0016F00001xjT7qQAE,Adidem Group (Body Shop),,000000000000000AAA,,,,,Australia,,,,,,395650500,,,,,,
0016F00001xjT7rQAE,Adina Hotels,,000000000000000AAA,,,,,,,,,,,9356 1000,,,,Hotels,,
0016F00001xjT7sQAE,Adrenaline,,000000000000000AAA,,,,,,,,,,,02 8324 9900,,,,Retail,,
0016F00001xjT7tQAE,Adrian Brien Hyundai,,000000000000000AAA,,,,,Australia,,,,,,(08) 8374 5444,,,,,,
0016F00001xjT7uQAE,Adriatic Furniture,,000000000000000AAA,,,VIC,,,,,,,,1300 300 449,,,,Retail,,
0016F00001xjT7vQAE,ADT Security,,000000000000000AAA,,,,,Australia,,,,,,02 9947 7108,,,,Security,,
0016F00001xjT7wQAE,Adult Learning Australia,,000000000000000AAA,,,,,Australia,,,,,,,,,,Associations,,
0016F00001xjT7xQAE,Advanced Dental Services,,000000000000000AAA,,,,,Australia,,,,,,02 9328 1423,,,,Medical,,
0016F00001xjT7yQAE,Advanced Hair,,000000000000000AAA,,,,,Australia,,,,,,03) 9662 3011,,,,Pharmaceuticals,,
0016F00001xjT7zQAE,Advanced Medical Institute,,000000000000000AAA,,,,,Australia,,,,,,,,,,Pharmaceuticals,,
0016F00001xjT80QAE,Advangen,,000000000000000AAA,,,,,Australia,,,,,,02 9233 8975,,,,,,
0016F00001xjT81QAE,Advantage Air,,000000000000000AAA,,,,,Australia,,,,,,08 6253 0100,,,,,,
0016F00001xjT82QAE,Advantage Pharmacy,,000000000000000AAA,,,,,Australia,,,,,,(03) 9703 2162,,,,Chemists,,
0016F00001xjT83QAE,Advantage Tennis Coaching,,000000000000000AAA,,,,,,,,,,,0418 486 667,,,,Sports Clubs,,
0016F00001xjT84QAE,Adventure Parc CLOSED,,000000000000000AAA,,,,,Australia,,,,,,,,,,Local Attractions,,
0016F00001xjT85QAE,Adventure Park,,000000000000000AAA,,,,,,,,,,,(03) 5250 2756,,,,Local Attractions,,
0016F00001xjT86QAE,Adventure Reels,,000000000000000AAA,,,,,Australia,,,,,,,,,,Local Attractions,,
0016F00001xjT87QAE,Adventure Wild,,000000000000000AAA,,,,,Australia,,,,,,,,,,Touring Promoters,,
0016F00001xjT88QAE,Adventure World Perth,,000000000000000AAA,,,,,,,,,,,894179666,,,,Local Attractions,,
0016F00001xjT89QAE,Adventure World Travel,,000000000000000AAA,,,,,Australia,,,,,,02) 8913 0600,,,,Tourism,,
0016F00001xjT8AQAU,Advertising Associates,Agency,000000000000000AAA,,,,,Australia,,,,,,03 8606 3100,,,,,,
0016F00001xjT8BQAU,Advertising Associates,,000000000000000AAA,Level 14/60 albert Road,South Melbourne,VIC,3205,Australia,,,,,,(038) 606-3100,,,,,,
0016F00001xjT8CQAU,Advertising Development Services Pty Ltd,Agency,000000000000000AAA,471 Williamstown Rd,Port Melbourne,VIC,3207,,,,,,,39091766,,,,,,
0016F00001xjT8DQAU,Advertising Standards Bureau,,000000000000000AAA,,,,,Australia,,,,,,261731500,,,,Associations,,
0016F00001xjT8EQAU,Adzuna,,000000000000000AAA,,,,,Australia,,,,,,,,,,Websites,,
